episode,steps,return
1,200,-668.0
2,200,-668.0
3,200,-632.0
4,200,-686.0
5,200,-722.0
6,200,-686.0
7,200,-470.0
8,200,-632.0
9,200,-587.0
10,135,-294.0
11,200,-686.0
12,35,-95.0
13,200,-416.0
14,200,-371.0
15,200,-443.0
16,170,-293.0
17,200,-551.0
18,200,-614.0
19,200,-578.0
20,200,-470.0
21,200,-317.0
22,200,-596.0
23,200,-686.0
24,200,-326.0
25,200,-398.0
26,200,-398.0
27,200,-434.0
28,200,-434.0
29,200,-380.0
30,186,-408.0
31,200,-452.0
32,200,-353.0
33,200,-497.0
34,200,-524.0
35,200,-452.0
36,200,-443.0
37,200,-362.0
38,200,-425.0
39,176,-362.0
40,200,-434.0
41,200,-506.0
42,200,-335.0
43,200,-398.0
44,200,-362.0
45,200,-434.0
46,43,-49.0
47,200,-371.0
48,200,-416.0
49,200,-434.0
50,84,-144.0
51,200,-371.0
52,200,-344.0
53,200,-389.0
54,50,-83.0
55,200,-425.0
56,200,-389.0
57,200,-353.0
58,114,-147.0
59,200,-416.0
60,200,-380.0
61,200,-416.0
62,200,-506.0
63,200,-389.0
64,200,-407.0
65,158,-317.0
66,200,-389.0
67,200,-497.0
68,200,-353.0
69,170,-293.0
70,200,-389.0
71,200,-308.0
72,200,-362.0
73,200,-371.0
74,200,-425.0
75,200,-326.0
76,200,-434.0
77,200,-380.0
78,200,-380.0
79,200,-407.0
80,200,-353.0
81,117,-195.0
82,200,-362.0
83,112,-190.0
84,200,-452.0
85,200,-407.0
86,200,-344.0
87,165,-333.0
88,200,-407.0
89,200,-389.0
90,200,-380.0
91,155,-260.0
92,200,-389.0
93,113,-164.0
94,200,-362.0
95,200,-362.0
96,189,-294.0
97,200,-389.0
98,114,-174.0
99,51,-84.0
100,200,-344.0
101,200,-389.0
102,200,-344.0
103,121,-190.0
104,64,-133.0
105,200,-335.0
106,200,-362.0
107,200,-353.0
108,200,-362.0
109,200,-371.0
110,200,-389.0
111,162,-285.0
112,200,-380.0
113,200,-362.0
114,200,-362.0
115,92,-161.0
116,200,-371.0
117,200,-335.0
118,139,-253.0
119,200,-326.0
120,200,-353.0
121,200,-353.0
122,197,-302.0
123,150,-219.0
124,200,-344.0
125,200,-380.0
126,168,-318.0
127,200,-416.0
128,200,-416.0
129,200,-398.0
130,200,-398.0
131,200,-380.0
132,200,-380.0
133,200,-425.0
134,200,-461.0
135,14,7.0
136,166,-316.0
137,141,-174.0
138,200,-452.0
139,166,-271.0
140,200,-353.0
141,200,-398.0
142,120,-189.0
143,178,-310.0
144,200,-398.0
145,68,-110.0
146,168,-282.0
147,200,-389.0
148,200,-353.0
149,30,-18.0
150,200,-308.0
151,182,-377.0
152,200,-416.0
153,200,-344.0
154,139,-244.0
155,200,-362.0
156,200,-371.0
157,94,-163.0
158,200,-344.0
159,131,-281.0
160,200,-353.0
161,200,-461.0
162,200,-389.0
163,111,-180.0
164,102,-162.0
165,168,-246.0
166,200,-299.0
167,163,-277.0
168,57,-63.0
169,200,-362.0
170,200,-326.0
171,174,-279.0
172,200,-323.0
173,200,-371.0
174,200,-380.0
175,200,-407.0
176,200,-407.0
177,124,-202.0
178,36,-15.0
179,129,-261.0
180,200,-443.0
181,200,-332.0
182,200,-407.0
183,118,-160.0
184,200,-362.0
185,200,-443.0
186,200,-443.0
187,39,-63.0
188,200,-389.0
189,200,-407.0
190,33,-57.0
191,200,-326.0
192,158,-281.0
193,200,-407.0
194,65,-89.0
195,65,-89.0
196,200,-326.0
197,200,-425.0
198,167,-272.0
199,155,-251.0
200,100,-169.0
201,200,-335.0
202,125,-212.0
203,24,-30.0
204,155,-215.0
205,200,-335.0
206,200,-443.0
207,31,-19.0
208,23,-20.0
209,152,-266.0
210,200,-398.0
211,200,-434.0
212,36,-42.0
213,44,-86.0
214,185,-317.0
215,122,-200.0
216,200,-371.0
217,68,-74.0
218,200,-461.0
219,183,-333.0
220,137,-233.0
221,144,-285.0
222,159,-255.0
223,200,-416.0
224,101,-179.0
225,200,-389.0
226,142,-166.0
227,200,-389.0
228,200,-317.0
229,200,-335.0
230,174,-306.0
231,41,-47.0
232,131,-218.0
233,190,-268.0
234,101,-152.0
235,200,-389.0
236,200,-362.0
237,104,-182.0
238,181,-277.0
239,200,-344.0
240,200,-308.0
241,155,-260.0
242,200,-317.0
243,37,-43.0
244,183,-297.0
245,200,-443.0
246,151,-184.0
247,200,-371.0
248,102,-135.0
249,200,-326.0
250,114,-183.0
251,40,-37.0
252,101,-116.0
253,200,-371.0
254,200,-326.0
255,97,-157.0
256,53,-59.0
257,200,-344.0
258,108,-168.0
259,121,-163.0
260,200,-371.0
261,37,-88.0
262,200,-362.0
263,200,-389.0
264,200,-371.0
265,17,-5.0
266,79,-103.0
267,53,-77.0
268,200,-380.0
269,36,-42.0
270,200,-425.0
271,143,-248.0
272,130,-262.0
273,200,-353.0
274,99,-150.0
275,33,-39.0
276,137,-215.0
277,134,-239.0
278,200,-353.0
279,197,-338.0
280,200,-362.0
281,85,-145.0
282,42,-75.0
283,200,-389.0
284,191,-341.0
285,200,-362.0
286,107,-158.0
287,200,-362.0
288,200,-362.0
289,200,-353.0
290,114,-156.0
291,84,-99.0
292,45,-24.0
293,119,-143.0
294,149,-236.0
295,102,-171.0
296,69,-102.0
297,200,-479.0
298,84,-144.0
299,103,-145.0
300,144,-222.0
301,200,-317.0
302,196,-373.0
303,107,-212.0
304,200,-389.0
305,109,-187.0
306,97,-175.0
307,162,-312.0
308,200,-434.0
309,65,-80.0
310,155,-242.0
311,49,-82.0
312,193,-343.0
313,200,-497.0
314,19,-7.0
315,61,-103.0
316,18,-6.0
317,75,-117.0
318,11,-8.0
319,35,-32.0
320,164,-251.0
321,16,-13.0
322,193,-298.0
323,149,-317.0
324,21,0.0
325,113,-227.0
326,161,-284.0
327,200,-380.0
328,103,-190.0
329,200,-389.0
330,20,1.0
331,126,-195.0
332,200,-380.0
333,71,-122.0
334,27,-24.0
335,40,-37.0
336,159,-273.0
337,200,-299.0
338,104,-182.0
339,79,-130.0
340,15,-3.0
341,23,-29.0
342,200,-407.0
343,96,-183.0
344,72,-141.0
345,200,-416.0
346,37,-61.0
347,200,-389.0
348,131,-254.0
349,81,-87.0
350,38,-35.0
351,111,-243.0
352,73,-115.0
353,134,-239.0
354,200,-326.0
355,144,-231.0
356,47,-89.0
357,200,-353.0
358,113,-200.0
359,57,-81.0
360,103,-136.0
361,148,-208.0
362,193,-352.0
363,200,-335.0
364,16,-4.0
365,81,-114.0
366,88,-157.0
367,127,-250.0
368,31,-37.0
369,36,-42.0
370,200,-371.0
371,45,-51.0
372,157,-343.0
373,200,-380.0
374,151,-265.0
375,82,-124.0
376,38,-98.0
377,110,-215.0
378,51,-57.0
379,16,-13.0
380,80,-122.0
381,200,-371.0
382,74,-98.0
383,148,-217.0
384,137,-188.0
385,107,-203.0
386,102,-171.0
387,81,-105.0
388,95,-137.0
389,101,-179.0
390,197,-338.0
391,85,-154.0
392,47,-62.0
393,158,-281.0
394,110,-197.0
395,28,-25.0
396,194,-317.0
397,26,-41.0
398,96,-174.0
399,70,-139.0
400,196,-382.0
401,89,-158.0
402,40,-73.0
403,135,-204.0
404,123,-228.0
405,117,-195.0
406,109,-214.0
407,118,-214.0
408,200,-362.0
409,116,-185.0
410,200,-425.0
411,70,-76.0
412,97,-148.0
413,98,-185.0
414,126,-213.0
415,180,-303.0
416,95,-173.0
417,69,-84.0
418,89,-122.0
419,200,-308.0
420,53,-77.0
421,154,-259.0
422,200,-335.0
423,148,-262.0
424,117,-186.0
425,21,-45.0
426,68,-119.0
427,153,-276.0
428,10,2.0
429,51,-57.0
430,77,-137.0
431,163,-322.0
432,103,-154.0
433,145,-223.0
434,139,-199.0
435,14,7.0
436,13,-1.0
437,35,-41.0
438,200,-362.0
439,8,13.0
440,73,-133.0
441,113,-227.0
442,103,-172.0
443,181,-304.0
444,35,-50.0
445,97,-175.0
446,200,-398.0
447,63,-114.0
448,20,-17.0
449,75,-135.0
450,27,-6.0
451,42,-57.0
452,179,-293.0
453,14,-2.0
454,29,-35.0
455,105,-174.0
456,121,-244.0
457,95,-191.0
458,200,-353.0
459,39,-54.0
460,83,-107.0
461,55,-61.0
462,77,-128.0
463,47,-80.0
464,25,-40.0
465,79,-112.0
466,73,-160.0
467,52,-112.0
468,44,-68.0
469,42,-66.0
470,200,-371.0
471,136,-241.0
472,58,-91.0
473,57,-99.0
474,76,-136.0
475,28,-25.0
476,75,-153.0
477,165,-315.0
478,147,-207.0
479,153,-258.0
480,200,-389.0
481,20,-26.0
482,88,-139.0
483,198,-393.0
484,169,-409.0
485,30,-27.0
486,24,-12.0
487,146,-242.0
488,30,-27.0
489,132,-192.0
490,33,-30.0
491,70,-148.0
492,68,-110.0
493,26,-14.0
494,83,-152.0
495,162,-231.0
496,65,-116.0
497,200,-380.0
498,89,-176.0
499,22,-19.0
500,90,-159.0
501,122,-209.0
502,28,-61.0
503,200,-371.0
504,35,-68.0
505,76,-190.0
506,105,-192.0
507,8,13.0
508,170,-347.0
509,79,-148.0
510,112,-136.0
511,118,-160.0
512,73,-106.0
513,12,9.0
514,22,-28.0
515,13,-10.0
516,68,-74.0
517,15,-3.0
518,92,-152.0
519,67,-91.0
520,95,-182.0
521,60,-84.0
522,200,-398.0
523,83,-179.0
524,19,-25.0
525,80,-167.0
526,200,-404.0
527,118,-196.0
528,36,-51.0
529,47,-44.0
530,22,-10.0
531,106,-157.0
532,103,-163.0
533,45,-60.0
534,26,-14.0
535,66,-144.0
536,200,-371.0
537,200,-317.0
538,21,0.0
539,48,-54.0
540,77,-173.0
541,135,-285.0
542,15,6.0
543,30,-27.0
544,43,-67.0
545,107,-185.0
546,68,-101.0
547,111,-180.0
548,102,-162.0
549,93,-207.0
550,11,-17.0
551,101,-134.0
552,69,-129.0
553,35,-32.0
554,27,-33.0
555,75,-108.0
556,98,-194.0
557,43,-58.0
558,44,-41.0
559,112,-190.0
560,101,-188.0
561,43,-40.0
562,28,-25.0
563,69,-102.0
564,200,-389.0
565,62,-122.0
566,91,-115.0
567,59,-47.0
568,65,-71.0
569,51,-75.0
570,23,-20.0
571,60,-84.0
572,106,-184.0
573,20,-8.0
574,15,6.0
575,200,-371.0
576,31,-55.0
577,168,-372.0
578,36,-60.0
579,13,-1.0
580,136,-232.0
581,64,-97.0
582,135,-240.0
583,34,-76.0
584,47,-44.0
585,19,-16.0
586,83,-116.0
587,69,-120.0
588,59,-101.0
589,26,-50.0
590,143,-284.0
591,10,-7.0
592,87,-147.0
593,51,-48.0
594,51,-93.0
595,19,-7.0
596,67,-118.0
597,136,-214.0
598,121,-190.0
599,57,-108.0
600,12,9.0
601,200,-407.0
602,112,-172.0
603,77,-137.0
604,45,-78.0
605,58,-64.0
606,44,-59.0
607,131,-218.0
608,87,-147.0
609,11,1.0
610,88,-130.0
611,10,2.0
612,173,-278.0
613,40,-55.0
614,36,-60.0
615,10,11.0
616,26,-5.0
617,22,-10.0
618,58,-100.0
619,43,-58.0
620,80,-104.0
621,28,-16.0
622,76,-109.0
623,200,-344.0
624,88,-112.0
625,62,-131.0
626,97,-139.0
627,39,-63.0
628,152,-266.0
629,128,-215.0
630,10,11.0
631,46,-79.0
632,200,-389.0
633,128,-251.0
634,27,-24.0
635,107,-185.0
636,23,-11.0
637,64,-79.0
638,50,-92.0
639,15,-3.0
640,72,-78.0
641,110,-197.0
642,40,-46.0
643,35,-50.0
644,26,-23.0
645,71,-140.0
646,186,-309.0
647,56,-125.0
648,45,-78.0
649,75,-99.0
650,14,-2.0
651,23,-2.0
652,41,-65.0
653,95,-155.0
654,18,-6.0
655,180,-312.0
656,61,-76.0
657,71,-122.0
658,11,1.0
659,19,-7.0
660,92,-125.0
661,60,-93.0
662,18,-15.0
663,56,-89.0
664,200,-353.0
665,67,-73.0
666,18,-15.0
667,41,-38.0
668,28,-34.0
669,77,-119.0
670,35,-68.0
671,16,5.0
672,16,-13.0
673,101,-134.0
674,20,-8.0
675,123,-210.0
676,11,10.0
677,154,-196.0
678,16,5.0
679,49,-64.0
680,73,-97.0
681,41,-38.0
682,129,-207.0
683,177,-390.0
684,14,7.0
685,41,-56.0
686,54,-105.0
687,168,-336.0
688,11,1.0
689,45,-78.0
