episode,steps,return
355,200,-317.0
356,200,-290.0
357,200,-308.0
358,200,-263.0
359,200,-272.0
360,200,-245.0
361,200,-326.0
362,113,-119.0
363,200,-281.0
364,200,-263.0
365,200,-254.0
366,200,-290.0
367,200,-308.0
368,200,-290.0
369,200,-227.0
370,200,-209.0
371,200,-281.0
372,200,-308.0
373,53,-50.0
374,200,-263.0
375,200,-290.0
376,200,-236.0
377,200,-281.0
378,200,-263.0
379,200,-317.0
380,200,-290.0
381,107,-104.0
382,200,-326.0
383,200,-335.0
384,200,-326.0
385,200,-227.0
386,200,-254.0
387,200,-335.0
388,200,-326.0
389,200,-362.0
390,200,-290.0
391,200,-281.0
392,200,-281.0
393,200,-272.0
394,200,-272.0
395,151,-175.0
396,200,-308.0
397,66,-54.0
398,200,-290.0
399,120,-144.0
400,200,-236.0
401,200,-272.0
402,200,-263.0
403,200,-245.0
404,148,-190.0
405,200,-308.0
406,200,-308.0
407,200,-290.0
408,200,-272.0
409,200,-263.0
410,200,-245.0
411,200,-290.0
412,200,-326.0
413,165,-225.0
414,200,-290.0
415,200,-263.0
416,200,-308.0
417,200,-263.0
418,200,-272.0
419,200,-290.0
420,200,-227.0
421,200,-362.0
422,200,-299.0
423,200,-299.0
424,200,-299.0
425,200,-326.0
426,200,-299.0
427,200,-245.0
428,200,-245.0
429,200,-299.0
430,200,-353.0
431,200,-308.0
432,200,-290.0
433,124,-184.0
434,200,-263.0
435,145,-205.0
436,13,8.0
437,200,-281.0
438,200,-263.0
439,200,-290.0
440,200,-254.0
441,200,-308.0
442,142,-184.0
443,200,-245.0
444,200,-299.0
445,200,-272.0
446,200,-290.0
447,200,-236.0
448,200,-317.0
449,200,-344.0
450,200,-335.0
451,200,-281.0
452,200,-281.0
453,200,-272.0
454,200,-227.0
455,200,-290.0
456,200,-308.0
457,128,-170.0
458,200,-272.0
459,200,-281.0
460,200,-254.0
461,200,-272.0
462,200,-299.0
463,200,-317.0
464,200,-254.0
465,200,-326.0
466,200,-272.0
467,200,-254.0
468,200,-317.0
469,79,-103.0
470,200,-290.0
471,200,-299.0
472,89,-95.0
473,153,-186.0
474,200,-353.0
475,200,-272.0
476,200,-299.0
477,200,-227.0
478,200,-353.0
479,200,-308.0
480,200,-299.0
481,200,-290.0
482,200,-335.0
483,200,-317.0
484,200,-326.0
485,200,-380.0
486,200,-245.0
487,200,-299.0
488,200,-281.0
489,200,-281.0
490,200,-299.0
491,200,-281.0
492,44,-50.0
493,200,-263.0
494,200,-335.0
495,147,-207.0
496,200,-317.0
497,200,-263.0
498,200,-263.0
499,200,-299.0
500,200,-272.0
501,200,-272.0
502,200,-308.0
503,200,-245.0
504,200,-353.0
505,200,-308.0
506,200,-290.0
507,104,-101.0
508,200,-299.0
509,200,-299.0
510,200,-308.0
511,200,-245.0
512,200,-317.0
513,200,-245.0
514,200,-290.0
515,200,-281.0
516,200,-290.0
517,200,-236.0
518,200,-326.0
519,200,-281.0
520,200,-317.0
521,200,-317.0
522,200,-308.0
523,137,-161.0
524,200,-245.0
525,103,-91.0
526,200,-263.0
527,200,-254.0
528,200,-236.0
529,200,-290.0
530,200,-290.0
531,57,-45.0
532,200,-281.0
533,200,-263.0
534,200,-245.0
535,200,-299.0
536,200,-308.0
537,200,-272.0
538,200,-254.0
539,200,-272.0
540,200,-227.0
541,200,-299.0
542,200,-263.0
543,200,-263.0
544,200,-290.0
545,198,-285.0
546,200,-326.0
547,200,-272.0
548,200,-254.0
549,179,-284.0
550,185,-254.0
551,200,-263.0
552,200,-308.0
553,200,-281.0
554,200,-272.0
555,200,-290.0
556,200,-317.0
557,200,-281.0
558,200,-272.0
559,200,-254.0
560,200,-299.0
561,200,-290.0
562,200,-308.0
563,200,-290.0
564,200,-245.0
565,200,-344.0
566,200,-371.0
567,200,-290.0
568,200,-263.0
569,19,-25.0
570,200,-281.0
571,200,-263.0
572,200,-299.0
573,200,-272.0
574,200,-263.0
575,200,-254.0
576,200,-290.0
577,200,-263.0
578,126,-123.0
579,56,-44.0
580,200,-272.0
581,200,-272.0
582,200,-290.0
583,200,-308.0
584,200,-263.0
585,200,-308.0
586,200,-281.0
587,200,-245.0
588,200,-254.0
589,47,-62.0
590,200,-272.0
591,200,-263.0
592,200,-308.0
593,200,-263.0
594,200,-326.0
595,200,-299.0
596,200,-254.0
597,200,-299.0
598,200,-245.0
599,200,-272.0
600,103,-127.0
601,200,-308.0
602,200,-290.0
603,200,-281.0
604,200,-290.0
605,200,-290.0
606,200,-299.0
607,200,-281.0
608,200,-281.0
609,200,-236.0
610,200,-236.0
611,200,-308.0
612,200,-299.0
613,200,-263.0
614,200,-326.0
615,200,-281.0
616,200,-236.0
617,200,-245.0
618,200,-317.0
619,200,-317.0
620,200,-299.0
621,149,-218.0
622,200,-254.0
623,200,-335.0
624,200,-335.0
625,200,-272.0
626,200,-317.0
627,200,-272.0
628,200,-326.0
629,200,-245.0
630,200,-299.0
631,200,-281.0
632,200,-254.0
633,200,-272.0
634,200,-308.0
635,200,-236.0
636,200,-290.0
637,200,-290.0
638,200,-317.0
639,200,-317.0
640,200,-272.0
641,200,-236.0
642,200,-308.0
643,200,-317.0
644,200,-281.0
645,200,-281.0
646,200,-245.0
647,200,-272.0
648,200,-254.0
649,200,-236.0
650,24,-39.0
651,200,-281.0
652,193,-271.0
653,200,-326.0
654,200,-281.0
655,200,-299.0
656,200,-290.0
657,200,-317.0
658,21,-9.0
659,200,-299.0
660,200,-245.0
661,200,-281.0
662,200,-317.0
663,200,-335.0
664,200,-290.0
665,200,-290.0
666,200,-290.0
667,153,-213.0
668,88,-94.0
669,200,-254.0
670,200,-236.0
671,200,-281.0
672,200,-299.0
673,200,-308.0
674,200,-254.0
675,200,-254.0
676,200,-290.0
677,200,-308.0
678,200,-245.0
679,200,-308.0
680,200,-290.0
681,200,-281.0
682,200,-236.0
683,200,-344.0
684,200,-281.0
685,200,-299.0
686,200,-272.0
687,200,-290.0
688,200,-281.0
689,200,-236.0
690,200,-272.0
691,200,-326.0
692,200,-272.0
693,200,-290.0
694,200,-317.0
695,200,-245.0
696,200,-263.0
697,200,-236.0
698,200,-326.0
699,200,-272.0
700,160,-238.0
701,72,-87.0
702,31,-10.0
703,200,-299.0
704,200,-290.0
705,200,-317.0
706,200,-254.0
707,200,-299.0
708,200,-299.0
709,200,-308.0
710,200,-299.0
711,200,-272.0
712,200,-254.0
713,184,-244.0
714,200,-272.0
715,200,-263.0
716,81,-78.0
717,200,-272.0
718,200,-344.0
719,200,-263.0
720,200,-236.0
721,67,-82.0
722,200,-281.0
723,200,-335.0
724,200,-335.0
725,200,-236.0
726,200,-344.0
727,200,-281.0
728,200,-272.0
729,200,-290.0
730,200,-263.0
731,200,-281.0
732,200,-254.0
733,200,-299.0
734,200,-254.0
735,200,-326.0
736,200,-290.0
737,200,-263.0
738,200,-272.0
739,200,-263.0
740,132,-174.0
741,200,-299.0
742,200,-290.0
743,200,-236.0
744,200,-245.0
745,200,-263.0
746,200,-344.0
747,200,-245.0
748,200,-281.0
749,200,-317.0
750,200,-254.0
751,200,-326.0
752,187,-283.0
753,200,-290.0
754,200,-290.0
755,200,-335.0
756,200,-254.0
757,200,-254.0
