episode,steps,return
356,51,-39.0
357,200,-269.0
358,73,-61.0
359,78,-84.0
360,185,-263.0
361,165,-189.0
362,95,-146.0
363,81,-87.0
364,200,-317.0
365,64,-88.0
366,63,-87.0
367,164,-233.0
368,8,13.0
369,197,-293.0
370,137,-179.0
371,71,-77.0
372,63,-78.0
373,80,-113.0
374,172,-223.0
375,171,-213.0
376,52,-31.0
377,70,-103.0
378,118,-196.0
379,11,1.0
380,200,-299.0
381,60,-57.0
382,56,-89.0
383,200,-317.0
384,89,-113.0
385,39,-45.0
386,127,-187.0
387,108,-150.0
388,42,-30.0
389,135,-168.0
390,138,-216.0
391,22,-1.0
392,118,-133.0
393,90,-123.0
394,200,-254.0
395,40,-46.0
396,200,-380.0
397,140,-191.0
398,49,-46.0
399,90,-195.0
400,56,-71.0
401,91,-124.0
402,64,-97.0
403,100,-142.0
404,137,-242.0
405,131,-155.0
406,126,-177.0
407,50,-56.0
408,200,-290.0
409,151,-211.0
410,54,-60.0
411,176,-236.0
412,56,-44.0
413,77,-146.0
414,105,-165.0
415,165,-306.0
416,152,-176.0
417,95,-137.0
418,73,-88.0
419,192,-378.0
420,33,-21.0
421,186,-300.0
422,90,-168.0
423,103,-127.0
424,70,-67.0
425,31,-28.0
426,100,-142.0
427,166,-280.0
428,16,5.0
429,19,-7.0
430,153,-186.0
431,45,-33.0
432,130,-190.0
433,79,-139.0
434,200,-380.0
435,29,-17.0
436,11,1.0
437,90,-96.0
438,200,-299.0
439,9,3.0
440,89,-113.0
441,77,-65.0
442,92,-143.0
443,64,-115.0
444,66,-99.0
445,122,-200.0
446,200,-398.0
447,175,-280.0
448,20,1.0
449,119,-152.0
450,15,-12.0
451,46,-34.0
452,31,-37.0
453,49,-28.0
454,91,-133.0
455,77,-128.0
456,146,-197.0
457,19,-7.0
458,86,-101.0
459,147,-243.0
460,31,-28.0
461,10,11.0
462,200,-335.0
463,23,-20.0
464,63,-78.0
465,121,-163.0
466,88,-121.0
467,38,-53.0
468,135,-168.0
469,28,-25.0
470,87,-138.0
471,26,-23.0
472,35,-23.0
473,80,-113.0
474,118,-160.0
475,82,-61.0
476,92,-125.0
477,176,-227.0
478,24,-3.0
479,91,-142.0
480,24,-12.0
481,12,9.0
482,93,-108.0
483,81,-114.0
484,45,-51.0
485,28,-25.0
486,16,-4.0
487,57,-81.0
488,25,-4.0
489,164,-296.0
490,53,-50.0
491,18,-6.0
492,124,-184.0
493,48,-27.0
494,105,-156.0
495,74,-98.0
496,127,-142.0
497,88,-148.0
498,83,-62.0
499,18,-6.0
500,124,-175.0
501,32,-29.0
502,66,-81.0
503,131,-173.0
504,91,-106.0
505,33,-12.0
506,65,-71.0
507,10,11.0
508,200,-344.0
509,100,-142.0
510,88,-121.0
511,161,-266.0
512,85,-127.0
513,8,13.0
514,80,-113.0
515,24,-21.0
516,24,-12.0
517,22,-1.0
518,19,-16.0
519,148,-181.0
520,96,-111.0
521,200,-299.0
522,111,-189.0
523,76,-100.0
524,11,1.0
525,94,-118.0
526,166,-244.0
527,50,-47.0
528,16,-4.0
529,86,-110.0
530,41,-56.0
531,159,-210.0
532,43,-58.0
533,99,-141.0
534,24,-21.0
535,12,9.0
536,58,-91.0
537,200,-335.0
538,67,-91.0
539,54,-51.0
540,89,-122.0
541,95,-119.0
542,14,-11.0
543,19,-7.0
544,109,-151.0
545,27,-15.0
546,60,-57.0
547,71,-68.0
548,84,-72.0
549,200,-299.0
550,8,13.0
551,92,-143.0
552,156,-216.0
553,82,-106.0
554,33,-21.0
555,28,-7.0
556,106,-139.0
557,66,-54.0
558,28,-25.0
559,141,-219.0
560,86,-128.0
561,190,-340.0
562,16,5.0
563,38,-44.0
564,42,-30.0
565,169,-229.0
566,70,-67.0
567,150,-219.0
568,27,-15.0
569,15,6.0
570,21,-18.0
571,56,-89.0
572,73,-79.0
573,56,-62.0
574,67,-91.0
575,27,-6.0
576,18,-6.0
577,65,-71.0
578,26,-23.0
579,16,5.0
580,171,-294.0
581,56,-80.0
582,96,-129.0
583,12,9.0
584,104,-182.0
585,11,1.0
586,76,-109.0
587,84,-117.0
588,71,-104.0
589,26,-14.0
590,119,-179.0
591,10,11.0
592,19,-7.0
593,39,-45.0
594,39,-27.0
595,49,-55.0
596,94,-127.0
597,80,-95.0
598,98,-149.0
599,22,-10.0
600,9,3.0
601,125,-185.0
602,88,-130.0
603,56,-44.0
604,172,-250.0
605,31,-37.0
606,16,-13.0
