episode,steps,return
356,150,-183.0
357,200,-335.0
358,104,-128.0
359,73,-88.0
360,200,-236.0
361,143,-185.0
362,152,-194.0
363,105,-111.0
364,19,2.0
365,138,-189.0
366,28,-16.0
367,78,-93.0
368,8,13.0
369,71,-77.0
370,102,-108.0
371,17,-5.0
372,139,-217.0
373,58,-46.0
374,200,-317.0
375,102,-135.0
376,47,-44.0
377,67,-55.0
378,89,-104.0
379,15,6.0
380,200,-290.0
381,28,-7.0
382,98,-86.0
383,191,-215.0
384,84,-72.0
385,200,-263.0
386,200,-263.0
387,93,-90.0
388,100,-133.0
389,28,-7.0
390,46,-43.0
391,29,-17.0
392,166,-199.0
393,43,-31.0
394,135,-141.0
395,42,-30.0
396,200,-272.0
397,95,-92.0
398,191,-242.0
399,12,0.0
400,26,-14.0
401,14,-2.0
402,101,-107.0
403,134,-185.0
404,121,-127.0
405,40,-37.0
406,77,-92.0
407,98,-113.0
408,52,-40.0
409,77,-101.0
410,200,-272.0
411,120,-126.0
412,61,-49.0
413,111,-144.0
414,101,-134.0
415,129,-180.0
416,146,-188.0
417,65,-62.0
418,70,-67.0
419,117,-123.0
420,200,-227.0
421,54,-51.0
422,142,-166.0
423,75,-72.0
424,25,-13.0
425,40,-19.0
426,76,-55.0
427,136,-160.0
428,28,-16.0
429,8,13.0
430,131,-119.0
431,81,-69.0
432,131,-146.0
433,25,-13.0
434,58,-55.0
435,48,-63.0
436,39,-36.0
437,58,-46.0
438,75,-117.0
439,9,12.0
440,65,-89.0
441,63,-42.0
442,30,-27.0
443,121,-145.0
444,92,-134.0
445,89,-95.0
446,200,-254.0
447,70,-67.0
448,34,-49.0
449,67,-100.0
450,14,7.0
451,71,-68.0
452,82,-88.0
453,47,-53.0
454,80,-104.0
455,57,-72.0
456,82,-88.0
457,104,-110.0
458,87,-84.0
459,72,-69.0
460,77,-92.0
461,17,4.0
462,200,-263.0
463,8,13.0
464,88,-76.0
465,78,-75.0
466,46,-52.0
467,49,-55.0
468,24,-12.0
469,28,-52.0
470,46,-34.0
471,127,-133.0
472,80,-86.0
473,45,-42.0
474,120,-153.0
475,40,-46.0
476,96,-129.0
477,139,-145.0
478,106,-166.0
479,104,-110.0
480,104,-101.0
481,27,-6.0
482,185,-227.0
483,127,-187.0
484,111,-117.0
485,47,-62.0
486,60,-57.0
487,86,-83.0
488,29,-8.0
489,70,-67.0
490,22,-19.0
491,27,-24.0
492,65,-98.0
493,86,-101.0
494,96,-120.0
495,10,11.0
496,152,-176.0
497,117,-150.0
498,95,-110.0
499,24,-21.0
500,86,-74.0
501,94,-109.0
502,31,-28.0
503,48,-45.0
504,150,-219.0
505,69,-66.0
506,62,-59.0
507,12,9.0
508,90,-132.0
509,123,-138.0
510,68,-56.0
511,132,-138.0
512,200,-245.0
513,8,13.0
514,36,-42.0
515,12,9.0
516,124,-130.0
517,37,-34.0
518,32,-29.0
519,50,-47.0
520,85,-109.0
521,59,-47.0
522,200,-245.0
523,30,-18.0
524,8,13.0
525,76,-82.0
526,130,-154.0
527,60,-66.0
528,93,-72.0
529,110,-116.0
530,100,-97.0
531,112,-145.0
532,21,-9.0
533,89,-113.0
534,28,-16.0
535,36,-33.0
536,34,-22.0
537,200,-308.0
538,81,-60.0
539,62,-50.0
540,70,-49.0
541,82,-70.0
542,11,10.0
543,37,-25.0
544,94,-91.0
545,40,-37.0
546,43,-31.0
547,96,-102.0
548,23,-2.0
549,200,-245.0
550,8,4.0
551,64,-61.0
552,69,-84.0
553,94,-91.0
554,51,-48.0
555,56,-62.0
556,38,-26.0
557,60,-48.0
558,64,-52.0
559,79,-67.0
560,23,-2.0
561,114,-156.0
562,34,-13.0
563,30,-18.0
564,115,-157.0
565,108,-114.0
566,66,-72.0
567,34,-49.0
568,89,-113.0
569,9,12.0
570,19,-16.0
571,55,-43.0
572,130,-154.0
573,71,-50.0
574,52,-49.0
575,61,-49.0
576,36,-33.0
577,108,-141.0
578,19,-16.0
579,27,-6.0
580,135,-141.0
581,20,-8.0
582,140,-263.0
583,16,5.0
584,29,-8.0
585,8,13.0
586,88,-85.0
587,64,-97.0
588,73,-52.0
589,22,-10.0
590,110,-116.0
591,8,13.0
592,86,-110.0
593,43,-22.0
594,90,-96.0
595,47,-44.0
596,74,-98.0
597,69,-84.0
598,35,-32.0
599,68,-92.0
600,12,9.0
601,189,-240.0
602,73,-61.0
603,77,-92.0
604,34,-31.0
605,58,-64.0
606,40,-28.0
607,35,-23.0
608,10,11.0
609,8,13.0
610,41,-38.0
611,8,4.0
612,135,-168.0
613,12,9.0
614,61,-58.0
615,44,-41.0
616,26,-5.0
617,17,-5.0
618,66,-63.0
619,82,-79.0
620,68,-83.0
621,35,-23.0
622,46,-43.0
623,174,-216.0
624,101,-107.0
625,57,-63.0
626,75,-63.0
627,88,-112.0
628,124,-130.0
629,48,-27.0
630,9,12.0
631,59,-56.0
632,101,-80.0
633,56,-71.0
634,99,-132.0
635,56,-35.0
636,31,-19.0
637,27,-15.0
638,60,-57.0
639,16,-4.0
640,109,-133.0
641,25,-4.0
642,80,-68.0
643,29,-17.0
644,12,0.0
645,51,-39.0
646,147,-216.0
647,51,-48.0
648,13,-1.0
649,27,-6.0
650,14,-2.0
651,18,-6.0
652,30,-18.0
653,73,-79.0
654,19,2.0
655,108,-105.0
656,30,-27.0
657,61,-67.0
658,12,-9.0
659,10,11.0
660,73,-61.0
661,61,-40.0
662,13,8.0
663,61,-58.0
664,61,-67.0
665,42,-21.0
666,13,-19.0
667,43,-40.0
668,18,-6.0
669,167,-209.0
670,44,-32.0
671,9,12.0
672,13,8.0
673,43,-31.0
674,44,-50.0
675,53,-68.0
676,10,11.0
677,81,-96.0
678,12,0.0
679,21,0.0
680,27,-24.0
681,54,-51.0
682,132,-174.0
683,15,6.0
684,43,-40.0
685,104,-119.0
686,46,-34.0
687,71,-77.0
688,15,6.0
689,29,-17.0
690,7,14.0
691,28,-25.0
692,116,-113.0
693,43,-22.0
694,176,-218.0
695,35,-23.0
696,128,-161.0
697,33,-30.0
698,29,-8.0
699,30,-36.0
700,31,-10.0
701,8,13.0
702,13,8.0
703,33,-12.0
704,46,-25.0
705,42,-39.0
706,28,-7.0
707,133,-139.0
708,52,-40.0
709,10,11.0
710,45,-33.0
711,11,10.0
712,9,12.0
713,19,2.0
714,16,5.0
715,31,-19.0
716,12,9.0
717,25,-4.0
718,28,-7.0
719,104,-146.0
720,19,-7.0
721,59,-56.0
722,66,-81.0
723,11,10.0
724,9,12.0
725,17,4.0
726,12,9.0
727,39,-36.0
728,63,-69.0
729,11,10.0
730,68,-56.0
731,20,-8.0
732,59,-74.0
733,38,-26.0
734,13,-1.0
735,32,-20.0
736,24,-21.0
737,19,-7.0
738,152,-176.0
739,32,-29.0
740,44,-68.0
741,19,2.0
742,80,-77.0
743,18,-6.0
744,93,-126.0
745,23,-11.0
746,35,-14.0
747,50,-47.0
