episode,steps,return
1,200,-650.0
2,200,-596.0
3,200,-677.0
4,200,-641.0
5,200,-623.0
6,200,-605.0
7,200,-434.0
8,200,-542.0
9,200,-542.0
10,200,-551.0
11,200,-614.0
12,24,-30.0
13,200,-236.0
14,200,-344.0
15,200,-254.0
16,200,-290.0
17,200,-272.0
18,200,-542.0
19,136,-322.0
20,200,-317.0
21,200,-236.0
22,200,-641.0
23,200,-641.0
24,173,-233.0
25,200,-299.0
26,200,-236.0
27,200,-254.0
28,89,-86.0
29,110,-134.0
30,200,-578.0
31,200,-308.0
32,200,-245.0
33,79,-130.0
34,200,-398.0
35,200,-218.0
36,200,-263.0
37,200,-200.0
38,200,-281.0
39,123,-129.0
40,200,-335.0
41,200,-398.0
42,200,-263.0
43,140,-155.0
44,141,-165.0
45,200,-272.0
46,33,-39.0
47,200,-209.0
48,200,-236.0
49,200,-272.0
50,200,-245.0
51,200,-299.0
52,169,-184.0
53,200,-254.0
54,200,-227.0
55,200,-371.0
56,200,-380.0
57,200,-263.0
58,37,-25.0
59,200,-272.0
60,200,-263.0
61,200,-263.0
62,200,-569.0
63,200,-263.0
64,54,-87.0
65,200,-344.0
66,200,-326.0
67,200,-308.0
68,200,-263.0
69,27,-15.0
70,186,-336.0
71,190,-205.0
72,200,-272.0
73,157,-208.0
74,200,-344.0
75,200,-263.0
76,200,-254.0
77,76,-91.0
78,200,-236.0
79,105,-147.0
80,150,-336.0
81,200,-308.0
82,200,-272.0
83,36,-51.0
84,200,-290.0
85,160,-193.0
86,200,-245.0
87,126,-105.0
88,200,-263.0
89,200,-254.0
90,200,-254.0
91,200,-326.0
92,21,0.0
93,200,-452.0
94,33,-30.0
95,160,-220.0
96,132,-183.0
97,200,-236.0
98,200,-344.0
99,79,-94.0
100,200,-245.0
101,167,-227.0
102,200,-344.0
103,200,-254.0
104,200,-272.0
105,91,-106.0
106,200,-272.0
107,117,-132.0
108,108,-132.0
109,28,-7.0
110,165,-288.0
111,75,-90.0
112,129,-135.0
113,200,-317.0
114,200,-263.0
115,184,-235.0
116,113,-164.0
117,111,-180.0
118,162,-186.0
119,200,-281.0
120,200,-254.0
121,200,-254.0
122,142,-175.0
123,188,-293.0
124,185,-200.0
125,200,-434.0
126,138,-144.0
127,53,-59.0
128,39,-63.0
129,194,-227.0
130,45,-33.0
131,200,-362.0
132,200,-416.0
133,179,-320.0
134,110,-152.0
135,8,13.0
136,200,-272.0
137,200,-218.0
138,197,-320.0
139,200,-263.0
140,195,-219.0
141,50,-56.0
142,200,-245.0
143,131,-164.0
144,142,-193.0
145,200,-281.0
146,151,-184.0
147,195,-219.0
148,200,-263.0
149,29,-26.0
150,159,-174.0
151,96,-102.0
152,95,-101.0
153,62,-68.0
154,120,-135.0
155,116,-149.0
156,200,-281.0
157,99,-123.0
158,154,-214.0
159,107,-140.0
160,44,-59.0
161,38,-35.0
162,95,-128.0
163,158,-200.0
164,200,-254.0
165,114,-120.0
166,115,-121.0
167,67,-73.0
168,147,-198.0
169,124,-202.0
170,200,-263.0
171,85,-118.0
172,166,-172.0
173,123,-174.0
174,47,-26.0
175,162,-168.0
176,200,-290.0
177,13,8.0
178,67,-73.0
179,162,-213.0
180,94,-100.0
181,114,-183.0
182,109,-133.0
183,70,-76.0
184,123,-165.0
185,115,-103.0
186,145,-169.0
187,95,-101.0
188,200,-254.0
189,53,-50.0
190,63,-51.0
191,73,-70.0
192,25,-22.0
193,61,-67.0
194,45,-24.0
195,170,-176.0
196,119,-143.0
197,169,-202.0
